Customer Status,Customer ID,Age,City,Zip Code,Latitude,Longitude,Internet Type,Phone Service,Gender,Tenure in Months,Monthly Charge,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Contract,Paperless Billing,Payment Method,Streaming Movies,Streaming TV
Churned,G571225,82,Pe Ell,98572,46.5512,-123.32437,Fiber Optic,Yes,Female,4.727388465,230.105118,84.4994305,No,Yes,No,No,Month-to-month,Yes,Electronic Check,Yes,Yes
Churned,S381541,74,Seney,49883,46.43517,-86.01334,DSL,Yes,Male,20.89923386,174.958118,223.39684775,Yes,Yes,No,No,Month-to-month,No,Electronic Check,No,Yes
Churned,R195593,69,Chatsworth,60921,40.73772,-88.28785,Fiber Optic,Yes,Male,3.471329958,267.664655,90.15119683333334,Yes,No,Yes,Yes,One year,No,Mailed Check,Yes,Yes
Churned,I327596,52,Albion,49224,42.28109,-84.75184,DSL,Yes,Male,5.478588204,162.483267,100.83009733333334,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed Check,No,No
Churned,U790894,26,Marlborough,6447,41.63306,-72.45472,Fiber Optic,Yes,Female,3.312991809,229.993134,74.7993262,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit Card,Yes,No
Stayed,O739489,25,Lafayette,7848,41.10336,-74.68407,DSL,Yes,Female,7.161561527,140.00128,111.74417966666665,Yes,No,Yes,No,One year,Yes,Electronic Check,No,No
Stayed,I958127,66,Washington,20017,38.93845,-76.99317,Fiber Optic,Yes,Female,9.847563364,184.964681,92.83280658333332,Yes,Yes,No,Yes,Two Year,No,Credit Card,Yes,No
Stayed,Z666770,72,Dublin,18917,40.37305,-75.2041,Fiber Optic,Yes,Male,16.04202196,147.473844,127.50897416666668,No,Yes,Yes,No,Two Year,No,Electronic Check,No,No
Stayed,X711438,21,Mantoloking,8738,40.02145,-74.06183,Fiber Optic,Yes,Female,9.179779682,172.457857,109.17811825,No,Yes,Yes,No,Month-to-month,Yes,Mailed Check,No,Yes
Stayed,U369541,55,Sproul,16682,40.26608,-78.45782,DSL,Yes,Male,3.002844144,107.481989,74.40804109166668,Yes,No,No,Yes,Month-to-month,Yes,Electronic Check,No,No
Churned,S896111,41,Springer,73458,34.35204,-97.25336,Fiber Optic,Yes,Male,3.924254455,255.141716,93.79849533333334,Yes,No,No,Yes,Two Year,No,Credit Card,Yes,Yes
Stayed,K227200,32,Homer City,15748,40.52449,-79.08432,Fiber Optic,Yes,Male,18.55959629,192.456745,168.05916925,No,No,No,Yes,Two Year,Yes,Electronic Check,Yes,No
Churned,E818912,22,New York,10035,40.7955,-73.92968,Fiber Optic,Yes,Female,8.798394712,242.632554,117.72806741666666,Yes,No,No,No,Two Year,Yes,Credit Card,Yes,Yes
Churned,Y490834,44,Sagola,49881,46.07835,-88.03348,,Yes,Female,10.377366,245.174977,142.55747258333335,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic Check,Yes,Yes
Churned,B609739,23,Peoria,61606,40.6998,-89.61143,Fiber Optic,Yes,Male,22.25746016,184.964681,198.74049241666668,Yes,Yes,No,Yes,Month-to-month,Yes,Bank Withdrawal,Yes,No
Churned,E687638,43,Acme,98220,48.68497,-122.19692,Fiber Optic,Yes,Female,9.427146079,195.006206,101.16168041666667,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit Card,No,No
Stayed,E492264,86,Chattanooga,37416,35.10444,-85.17661,,Yes,Female,7.760290062,104.962874,61.66756016666667,No,No,No,No,Two Year,No,Bank Withdrawal,No,Yes
Stayed,W255321,84,Harvey,58341,47.77527,-99.85,,Yes,Female,11.56938439,92.488023,74.83096794166667,No,No,No,Yes,Month-to-month,Yes,Electronic Check,No,No
Churned,S72442,62,Goodwater,35072,33.08977,-86.06138,DSL,Yes,Female,3.343811019,184.979684,85.53226433333333,No,No,Yes,Yes,Month-to-month,No,Bank Withdrawal,Yes,No
Churned,O845020,68,Lexington,27292,35.73451,-80.20925,,Yes,Female,7.338869531,187.656013,102.85369366666667,No,No,Yes,No,Month-to-month,Yes,Credit Card,Yes,Yes
Stayed,D805597,59,Transylvania,71286,32.6644,-91.19645,Fiber Optic,Yes,Female,5.486534225,149.962093,60.61443204166667,No,No,Yes,No,Month-to-month,Yes,Electronic Check,No,Yes
Churned,R189303,31,Jolley,50551,42.47954,-94.75105,Fiber Optic,Yes,Female,1.55278221,169.944668,37.73934586666667,No,No,No,No,One year,Yes,Credit Card,No,Yes
Churned,N142854,51,Miller,68858,40.95947,-99.37702,Fiber Optic,Yes,Male,12.07970325,160.00128,108.05621191666667,Yes,No,Yes,No,Month-to-month,Yes,Mailed Check,No,No
Stayed,F522569,58,Welch,24801,37.44262,-81.57762,DSL,Yes,Female,13.98666226,129.962093,153.38568908333335,No,No,Yes,No,One year,No,Mailed Check,No,Yes
Churned,L384793,73,Alvin,77511,29.38147,-95.24205,DSL,Yes,Male,9.563362997,114.950905,110.36084233333334,No,Yes,No,No,Month-to-month,Yes,Electronic Check,No,No
Stayed,C101444,33,Goleta,93117,34.49127,-120.08222,,Yes,Female,6.732948946,142.515576,79.84497549166666,Yes,No,Yes,Yes,Two Year,Yes,Mailed Check,Yes,No
Churned,E987442,58,Racine,53403,42.68864,-87.82515,,Yes,Male,15.72071086,220.14775,155.73866891666668,No,No,No,Yes,Two Year,Yes,Credit Card,Yes,Yes
Stayed,L54611,49,Chauncey,31011,32.12693,-83.06218,Fiber Optic,Yes,Female,7.233605493,124.97808,56.39274233333333,No,No,Yes,No,Two Year,Yes,Electronic Check,No,No
Stayed,L85018,26,Porum,74455,35.3619,-95.26371,DSL,Yes,Female,2.871017037,164.964681,90.58252566666665,Yes,Yes,No,Yes,One year,Yes,Mailed Check,Yes,No
Stayed,O942919,25,Delavan,61734,40.37342,-89.52646,Fiber Optic,Yes,Male,2.344875382,194.976769,58.72950338333334,No,No,Yes,Yes,Month-to-month,No,Electronic Check,No,Yes
Churned,I167253,42,Harveys Lake,18618,41.37478,-76.03486,DSL,Yes,Female,7.960490246,152.455519,118.03705791666665,Yes,Yes,No,No,Month-to-month,Yes,Mailed Check,Yes,No
Stayed,R110564,81,Eagar,85925,34.088,-109.3232,,Yes,Male,12.25062113,92.5018,91.32921950000001,No,No,Yes,No,Month-to-month,No,Mailed Check,No,No
Stayed,M278354,43,Aulander,27805,36.20782,-77.08433,,Yes,Female,9.634946079,127.488728,90.30085566666666,No,No,Yes,No,Month-to-month,Yes,Electronic Check,Yes,No
Stayed,W604879,63,Mokelumne Hill,95245,38.29793,-120.62131,DSL,Yes,Male,7.916533093,184.963371,130.88677808333333,No,Yes,Yes,No,Two Year,No,Bank Withdrawal,No,Yes
Churned,X345797,70,Wheeling,60090,42.1295,-87.92197,Fiber Optic,Yes,Female,4.471254161,265.146969,83.95212941666666,No,No,Yes,Yes,Month-to-month,Yes,Bank Withdrawal,Yes,Yes
Churned,N189653,78,Nevada,64772,37.82945,-94.33173,Fiber Optic,Yes,Male,10.79028074,207.609354,110.25236825,No,No,No,No,Month-to-month,No,Bank Withdrawal,Yes,Yes
Stayed,M562102,48,Slaton,79364,33.45204,-101.64305,DSL,Yes,Male,12.24190682,152.462354,150.72754625000002,Yes,No,No,No,Month-to-month,No,Electronic Check,No,Yes
Churned,X67911,63,Gillette,82716,44.48072,-105.68542,DSL,Yes,Female,2.203859443,200.132293,93.353456,No,No,Yes,No,Month-to-month,Yes,Credit Card,Yes,Yes
Churned,O834546,60,Roseburg,97470,43.22975,-123.23433,,Yes,Female,23.92132231,212.655686,223.06581691666668,Yes,Yes,No,Yes,One year,No,Electronic Check,Yes,Yes
Churned,I493092,87,North Royalton,44133,41.31414,-81.74522,DSL,Yes,Male,3.7311787,255.119794,105.67390908333334,No,Yes,No,Yes,One year,Yes,Bank Withdrawal,Yes,Yes
Stayed,H787644,54,Cadiz,43907,40.25609,-81.02123,Fiber Optic,Yes,Female,7.980015371,134.950905,68.55643055,No,Yes,No,No,Two Year,Yes,Bank Withdrawal,No,No
Churned,N582710,35,Homestead,59242,48.43505,-104.4389,Fiber Optic,Yes,Male,9.190009376,255.137219,131.49296691666666,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic Check,Yes,Yes
Churned,T689606,70,San Diego,92131,32.89431,-117.08013,Fiber Optic,Yes,Male,2.378630018,214.966286,54.0622648,No,Yes,Yes,No,Month-to-month,No,Bank Withdrawal,Yes,No
Churned,E330599,67,Inglewood,90303,33.9381,-118.3323,DSL,Yes,Female,5.43464555,270.160419,137.34188941666667,Yes,Yes,Yes,Yes,One year,Yes,Electronic Check,Yes,Yes
Churned,C641592,46,Catlett,20119,38.6184,-77.62493,,No,Female,1.092361222,200.165175,64.007287875,No,No,Yes,Yes,Two Year,Yes,Electronic Check,Yes,Yes
Stayed,E24772,50,Rockfield,42274,36.94686,-86.60235,DSL,Yes,Male,20.13981517,149.937833,202.16921883333336,No,Yes,No,No,Two Year,No,Bank Withdrawal,Yes,No
Churned,A889769,24,Concord,62631,39.82437,-90.36129,Fiber Optic,Yes,Female,24.64873861,240.114868,221.708661,No,No,No,No,Month-to-month,Yes,Mailed Check,Yes,Yes
Stayed,G391761,20,Little Falls,56345,45.98881,-94.37486,Fiber Optic,Yes,Male,9.677739656,127.495766,94.12914275000001,Yes,No,Yes,No,Month-to-month,Yes,Credit Card,No,No
Churned,A606860,29,Orlando,32804,28.57725,-81.39726,DSL,Yes,Female,9.82814183,187.609354,147.6072055,No,No,No,No,One year,No,Electronic Check,Yes,Yes
Stayed,E186097,31,Millsboro,15348,39.9883,-79.99619,Fiber Optic,Yes,Male,7.832238337,169.992756,78.6115937,No,No,Yes,Yes,Month-to-month,No,Credit Card,No,No
Stayed,I627613,72,Sagola,49881,46.07835,-88.03348,Fiber Optic,Yes,Female,19.45250317,192.456745,158.93550691666667,No,No,No,Yes,Two Year,No,Mailed Check,Yes,No
Stayed,Z188641,71,Magnolia,42757,37.40057,-85.72074,DSL,Yes,Male,14.34766616,120.004928,157.16159316666668,Yes,No,Yes,Yes,Month-to-month,Yes,Credit Card,No,No
Stayed,A740543,32,Gypsum,67448,38.65158,-97.41275,Fiber Optic,Yes,Female,2.257358355,195.006206,52.64529710833333,Yes,Yes,Yes,Yes,One year,No,Bank Withdrawal,No,No
Stayed,W681476,33,Alexandria,22306,38.75669,-77.0929,Fiber Optic,Yes,Male,2.358129018,139.95684,46.884126825,Yes,No,No,No,One year,Yes,Credit Card,No,Yes
Stayed,G842176,67,Shade Gap,17255,40.1613,-77.86247,,Yes,Male,4.650578623,114.983787,49.48810219999999,No,Yes,No,Yes,Month-to-month,Yes,Bank Withdrawal,No,No
Churned,Z852663,66,Chicago,60636,41.77576,-87.66912,,Yes,Female,3.721772616,207.638588,64.77550598333333,No,No,No,No,Month-to-month,No,Electronic Check,Yes,Yes
Churned,C73741,21,Waterbury,6704,41.5865,-73.03305,DSL,Yes,Female,3.76663012,187.609354,116.10019933333332,No,No,No,No,Month-to-month,Yes,Electronic Check,Yes,Yes
Stayed,W258972,61,Litchfield,96117,40.54621,-120.23999,Fiber Optic,Yes,Female,4.151256695,134.950905,32.8043721,No,Yes,No,No,One year,Yes,Bank Withdrawal,No,No
Churned,G491883,75,Greensboro,27410,36.11785,-79.89432,Fiber Optic,Yes,Female,2.188918771,192.470522,34.1457222,No,No,Yes,No,Month-to-month,Yes,Mailed Check,Yes,No
Churned,C302549,63,Seekonk,2771,41.83778,-71.31735,DSL,No,Female,13.85488928,222.628057,178.17559674999998,No,Yes,Yes,No,Month-to-month,Yes,Mailed Check,Yes,Yes
Stayed,K581313,68,Reading,49274,41.83849,-84.76277,Fiber Optic,Yes,Female,3.273341151,162.468917,36.99866925,Yes,No,No,Yes,Two Year,Yes,Electronic Check,Yes,No
Churned,T46150,32,Shreveport,71104,32.48494,-93.73255,DSL,Yes,Male,19.75096265,159.979358,206.78213358333335,No,Yes,Yes,No,Two Year,No,Electronic Check,No,No
Stayed,B260505,76,San Antonio,33576,28.32589,-82.32911,DSL,Yes,Male,18.38404445,184.979684,186.13059841666666,No,No,Yes,Yes,Two Year,Yes,Mailed Check,Yes,No
Churned,W877056,29,Dallas,75212,32.78137,-96.87917,Fiber Optic,Yes,Female,4.672610857,245.145743,96.57614083333334,Yes,Yes,Yes,No,Month-to-month,Yes,Credit Card,Yes,Yes
Stayed,M478246,83,Claytonville,60926,40.57234,-87.80962,Fiber Optic,Yes,Female,6.796299371,124.97808,44.1172775,No,No,Yes,No,Month-to-month,No,Electronic Check,No,No
Churned,N417817,23,Beaverville,60912,40.97003,-87.59935,Fiber Optic,Yes,Male,12.97632235,187.484705,163.06114166666666,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed Check,No,Yes
Stayed,R180138,80,Fayetteville,28301,35.07431,-78.88358,Fiber Optic,Yes,Male,20.31163945,162.500692,171.36558158333332,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed Check,No,No
Stayed,N931384,20,Stanley,58784,48.36433,-102.42437,Fiber Optic,Yes,Male,6.998814446,182.467607,88.94775633333334,No,No,Yes,No,One year,Yes,Electronic Check,No,Yes
Churned,O967373,69,Birmingham,35242,33.42521,-86.67144,,No,Male,14.46288204,222.660939,150.51131108333334,No,Yes,Yes,Yes,Month-to-month,Yes,Credit Card,Yes,Yes
Stayed,G695985,32,Calhoun,42327,37.58745,-87.30164,Fiber Optic,Yes,Male,11.13472066,182.467607,116.47511125,No,No,Yes,No,One year,Yes,Bank Withdrawal,No,Yes
Churned,P33478,53,Ozone Park,11417,40.67637,-73.84441,,Yes,Female,2.542296644,220.161527,67.36921225833333,No,No,Yes,No,Month-to-month,Yes,Mailed Check,Yes,Yes
Stayed,K100436,25,Buckhannon,26201,39.00049,-80.20387,Fiber Optic,Yes,Male,17.22596021,169.937833,157.21099475,No,Yes,No,No,Two Year,Yes,Electronic Check,Yes,No
Churned,L475907,69,Pleasant Hill,64080,38.76701,-94.25448,Fiber Optic,No,Male,22.79214163,204.963371,191.23176091666667,No,Yes,Yes,No,Month-to-month,Yes,Mailed Check,No,Yes
Churned,A78095,71,Valparaiso,68065,41.07317,-96.83986,Fiber Optic,Yes,Male,3.823689744,204.963371,68.86198850833334,No,Yes,Yes,No,Month-to-month,No,Electronic Check,No,Yes
Churned,X742990,53,Buchanan,10511,41.26302,-73.94368,DSL,Yes,Female,10.77094687,245.128318,172.71368066666665,Yes,Yes,No,No,Month-to-month,No,Credit Card,Yes,Yes
Churned,P347346,56,West Baden Springs,47469,38.61776,-86.61282,,Yes,Nonbinary,13.08671185,172.473314,119.73281216666668,No,Yes,No,Yes,Month-to-month,Yes,Bank Withdrawal,No,Yes
Churned,O235183,42,Nolan,79537,32.29188,-100.21075,DSL,No,Male,14.76468813,172.456745,163.61105691666668,No,No,No,Yes,Month-to-month,No,Bank Withdrawal,Yes,No
Churned,R776311,33,Flat Rock,35966,34.79657,-85.67879,Fiber Optic,Yes,Male,9.473091121,194.976769,110.3470755,No,No,Yes,Yes,Month-to-month,Yes,Electronic Check,No,Yes
Stayed,C25146,47,Centreville,20120,38.85433,-77.47715,Fiber Optic,Yes,Male,5.197446331,137.439154,58.744796691666664,No,No,No,No,Month-to-month,Yes,Bank Withdrawal,No,Yes
Churned,E722502,48,Angora,55703,47.74202,-92.78159,Fiber Optic,Yes,Female,6.577552683,192.470522,74.054310875,No,No,Yes,No,Two Year,Yes,Credit Card,Yes,No
Churned,D515341,63,Rice Lake,54868,45.52596,-91.71346,Fiber Optic,Yes,Female,3.174571918,159.951231,31.423419016666667,No,No,No,Yes,Month-to-month,No,Mailed Check,Yes,No
Stayed,U972291,40,Middlefield,1243,42.35146,-73.02322,Fiber Optic,Yes,Male,17.88002366,112.455141,133.87416133333332,No,No,No,No,Month-to-month,Yes,Bank Withdrawal,No,No
Churned,N374641,67,Canaseraga,14822,42.43085,-77.84964,Fiber Optic,Yes,Male,13.12190056,174.961766,119.28411633333333,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed Check,No,Yes
Stayed,R736057,56,Rocky Mount,24151,36.95739,-79.86453,Fiber Optic,Yes,Female,23.34617699,162.452604,187.82103916666665,Yes,Yes,No,No,Month-to-month,No,Credit Card,No,Yes
Stayed,K401117,24,Hope,40334,38.01464,-83.76565,DSL,Yes,Female,6.311709178,137.483594,112.77448666666668,No,No,Yes,No,One year,Yes,Mailed Check,No,No
Stayed,O17401,79,Pleasant Dale,68423,40.80268,-96.95214,Fiber Optic,Yes,Female,12.58298231,275.133571,141.7881305,No,Yes,Yes,No,Two Year,Yes,Electronic Check,Yes,Yes
Churned,E779833,61,Watkins Glen,14891,42.37724,-76.94575,DSL,Yes,Male,7.120096363,127.442069,107.56143191666666,No,No,No,No,Month-to-month,No,Electronic Check,Yes,No
Churned,Q527077,38,Parksville,29844,33.7683,-82.2322,,Yes,Male,9.344886869,210.138,116.93917425000001,No,Yes,No,Yes,Two Year,No,Electronic Check,Yes,Yes
Stayed,Q765651,28,Altadena,91001,34.19544,-118.13796,DSL,Yes,Female,22.37815032,147.456419,216.99197266666667,No,Yes,No,No,Two Year,Yes,Credit Card,No,No
Churned,W400552,44,Coggon,52218,42.29251,-91.53608,,Yes,Male,4.799514433,242.657291,104.6906545,No,Yes,Yes,No,One year,Yes,Credit Card,Yes,Yes
Stayed,S979985,65,Sarver,16055,40.71569,-79.748,,Yes,Male,10.04672315,114.983787,81.749466025,No,Yes,No,Yes,Month-to-month,Yes,Mailed Check,No,No
Stayed,E351590,35,Cape Coral,33904,26.57593,-81.94532,,Yes,Female,8.156552837,187.656013,112.32243375,No,No,Yes,No,Month-to-month,Yes,Bank Withdrawal,Yes,Yes
Stayed,J227824,31,Warren,44485,41.24042,-80.84612,,Yes,Female,7.992791229,149.991327,93.93898733333333,No,No,Yes,No,Two Year,No,Credit Card,No,Yes
Stayed,S136858,34,Dade City,33525,28.33597,-82.20146,DSL,Yes,Male,7.231032028,124.960655,105.8196835,No,No,No,No,Two Year,No,Bank Withdrawal,No,No
Churned,N883325,68,Ralston,17763,41.51534,-76.97577,,Yes,Male,4.627672042,220.161527,86.56211483333334,No,No,Yes,No,Month-to-month,Yes,Electronic Check,Yes,Yes
Stayed,U700981,62,Vernon Rockville,6066,41.8364,-72.46061,DSL,No,Male,10.05306287,172.48852,127.59628058333334,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,No,No
Stayed,X267853,52,Monroe Center,61052,42.11139,-88.99956,DSL,Yes,Male,4.171044392,120.004928,82.6036752,Yes,No,Yes,Yes,Two Year,No,Electronic Check,No,No
Churned,S985225,32,Momence,60954,41.15338,-87.62902,,Yes,Male,4.568682641,220.161527,103.69140541666667,No,No,Yes,No,Month-to-month,Yes,Mailed Check,Yes,Yes
Churned,X645702,47,Dennison,44621,40.42752,-81.29587,DSL,Yes,Female,6.085030507,139.965008,96.86107716666667,No,No,Yes,No,Month-to-month,Yes,Mailed Check,Yes,No
Stayed,I703479,66,Weaver,36277,33.75973,-85.81881,Fiber Optic,Yes,Female,2.730250735,159.951231,48.09298186666666,No,No,No,Yes,Month-to-month,Yes,Mailed Check,Yes,No
Churned,S370452,70,Hudson,3051,42.76391,-71.4071,DSL,Yes,Female,8.574901206,184.949594,120.24790641666668,No,Yes,No,Yes,Month-to-month,No,Bank Withdrawal,No,Yes
Churned,D333249,41,Parish,13131,43.42122,-76.09223,Fiber Optic,Yes,Male,9.743201772,252.637807,131.43405975,No,No,Yes,No,Month-to-month,Yes,Mailed Check,Yes,Yes
Stayed,O698848,59,Clitherall,56524,46.21378,-95.61021,Fiber Optic,Yes,Male,9.482919033,112.455141,73.9116562,No,No,No,No,Month-to-month,Yes,Bank Withdrawal,No,No
Stayed,M248356,46,Kenton,19955,39.22601,-75.66854,Fiber Optic,Yes,Male,8.447988841,179.979358,88.75536916666665,No,Yes,Yes,No,Two Year,Yes,Electronic Check,No,No
Stayed,E759213,70,Garysburg,27831,36.45915,-77.5707,Fiber Optic,Yes,Male,6.365998533,202.443347,79.32391541666667,No,Yes,No,No,One year,Yes,Bank Withdrawal,Yes,No
Stayed,G106476,89,Leesburg,75451,32.96633,-95.12119,DSL,Yes,Male,7.251397592,197.472533,117.0362945,No,Yes,Yes,Yes,One year,Yes,Bank Withdrawal,No,Yes
Churned,D873414,75,Thomas,73669,35.72895,-98.7404,Fiber Optic,No,Female,14.64011644,255.155493,160.4926435,Yes,No,Yes,No,One year,Yes,Mailed Check,Yes,Yes
Churned,X906302,26,Essie,40827,37.04672,-83.47218,DSL,Yes,Female,11.71637124,174.976769,150.41760816666667,No,No,Yes,Yes,Month-to-month,No,Electronic Check,No,Yes
Stayed,Z245249,25,Malta,60150,41.92493,-88.88861,Fiber Optic,Yes,Female,4.13273503,169.992756,58.39452649166666,No,No,Yes,Yes,Two Year,Yes,Electronic Check,No,No
Churned,T30358,84,Victoria,77901,28.80493,-96.98473,Fiber Optic,Yes,Female,2.887429547,192.440432,42.76977541666667,No,Yes,No,No,Month-to-month,Yes,Bank Withdrawal,No,Yes
Stayed,K974027,69,Ogdensburg,7439,41.07608,-74.59774,Fiber Optic,Yes,Male,3.303030246,182.460772,59.7823047,No,Yes,Yes,No,Month-to-month,No,Bank Withdrawal,Yes,No
Stayed,R464272,31,Sweetwater,79556,32.45432,-100.36402,DSL,Yes,Male,5.15825129,139.965008,109.45773758333333,No,No,Yes,No,One year,No,Credit Card,Yes,No
