,Churn,Age,Income,Email,Contacts,Tenure,MonthlyCharge,Bandwidth_GB_Year,Gender_Female,Gender_Male,Gender_Nonbinary,Area_Rural,Area_Suburban,Area_Urban,Marital_Divorced,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed
33,1,74,25942.1,8,1,20.89923386,174.958118,2680.762173,0,1,0,1,0,0,0,0,0,1,0
34,1,69,11211.59,15,1,3.471329958,267.664655,1081.814362,0,1,0,0,0,1,0,0,0,0,1
35,1,52,8283.29,11,0,5.478588204,162.483267,1209.961168,0,1,0,0,1,0,0,0,1,0,0
36,1,26,10114.81,16,1,3.312991809,229.993134,897.5919144,1,0,0,0,1,0,0,0,1,0,0
37,0,25,36229.21,9,2,7.161561527,140.00128,1340.930156,1,0,0,0,0,1,0,0,1,0,0
38,0,66,25397.44,12,1,9.847563364,184.964681,1113.993679,1,0,0,0,1,0,1,0,0,0,0
39,0,72,50336.5,10,1,16.04202196,147.473844,1530.10769,0,1,0,0,1,0,1,0,0,0,0
40,0,21,38211.37,12,1,9.179779682,172.457857,1310.137419,1,0,0,0,0,1,1,0,0,0,0
41,0,55,52887.26,16,2,3.002844144,107.481989,892.8964931,0,1,0,0,1,0,0,1,0,0,0
42,1,41,12003.33,11,1,3.924254455,255.141716,1125.581944,0,1,0,0,1,0,1,0,0,0,0
43,0,32,24090.62,13,0,18.55959629,192.456745,2016.710031,0,1,0,0,1,0,0,0,1,0,0
44,1,22,15137.93,6,0,8.798394712,242.632554,1412.736809,1,0,0,1,0,0,0,0,1,0,0
45,1,44,54458.38,5,1,10.377366,245.174977,1710.689671,1,0,0,0,0,1,1,0,0,0,0
47,1,43,37358.13,11,1,9.427146079,195.006206,1213.940165,1,0,0,0,1,0,0,0,1,0,0
48,0,86,26534.16,11,2,7.760290062,104.962874,740.010722,1,0,0,1,0,0,0,0,0,1,0
49,0,84,76430.83,14,0,11.56938439,92.488023,897.9716153,1,0,0,0,1,0,0,1,0,0,0
50,1,62,4662.37,13,3,3.343811019,184.979684,1026.387172,1,0,0,0,0,1,0,0,0,1,0
51,1,68,43820.85,12,1,7.338869531,187.656013,1234.244324,1,0,0,0,0,1,1,0,0,0,0
52,0,59,38391.55,8,0,5.486534225,149.962093,727.3731845,1,0,0,0,1,0,0,0,1,0,0
53,1,31,44137.6,6,0,1.55278221,169.944668,452.8721504,1,0,0,0,0,1,0,0,0,1,0
54,1,51,14364.65,11,2,12.07970325,160.00128,1296.674543,0,1,0,0,0,1,0,0,0,0,1
55,0,58,62359.91,11,1,13.98666226,129.962093,1840.628269,1,0,0,0,1,0,0,0,0,1,0
56,1,73,82634.86,11,0,9.563362997,114.950905,1324.330108,0,1,0,0,1,0,0,1,0,0,0
57,0,33,15690.25,11,0,6.732948946,142.515576,958.1397059,1,0,0,1,0,0,0,0,0,0,1
58,1,58,14568.7,15,2,15.72071086,220.14775,1868.864027,0,1,0,0,1,0,0,0,0,1,0
59,0,49,29207.46,9,1,7.233605493,124.97808,676.712908,1,0,0,1,0,0,0,0,1,0,0
60,0,26,55319.23,12,1,2.871017037,164.964681,1086.990308,1,0,0,0,1,0,0,0,1,0,0
61,0,25,81831.49,10,3,2.344875382,194.976769,704.7540406,0,1,0,0,0,1,0,0,0,0,1
62,1,42,100076.65,14,3,7.960490246,152.455519,1416.444695,1,0,0,1,0,0,0,0,0,1,0
63,0,81,69965.65,15,0,12.25062113,92.5018,1095.950634,0,1,0,1,0,0,0,0,0,0,1
64,0,43,34883.69,13,0,9.634946079,127.488728,1083.610268,1,0,0,0,1,0,1,0,0,0,0
65,0,63,45634.2,14,1,7.916533093,184.963371,1570.641337,0,1,0,0,0,1,0,0,1,0,0
66,1,70,10964.73,11,0,4.471254161,265.146969,1007.425553,1,0,0,0,1,0,0,1,0,0,0
67,1,78,22365.28,19,1,10.79028074,207.609354,1323.028419,0,1,0,0,0,1,0,0,0,0,1
68,0,48,52636.6,17,0,12.24190682,152.462354,1808.730555,0,1,0,0,0,1,0,0,0,1,0
69,1,63,19048.13,18,2,2.203859443,200.132293,1120.241472,1,0,0,0,1,0,0,0,0,1,0
70,1,60,42784.82,12,0,23.92132231,212.655686,2676.789803,1,0,0,0,0,1,0,1,0,0,0
71,1,87,77996.88,17,0,3.7311787,255.119794,1268.086909,0,1,0,1,0,0,1,0,0,0,0
72,0,54,47507.3,9,0,7.980015371,134.950905,822.6771666,1,0,0,0,1,0,0,1,0,0,0
73,1,35,7724.73,9,0,9.190009376,255.137219,1577.915603,0,1,0,0,0,1,1,0,0,0,0
74,1,70,1509.52,16,0,2.378630018,214.966286,648.7471776,0,1,0,0,0,1,0,0,1,0,0
75,1,67,81124.71,13,0,5.43464555,270.160419,1648.102673,1,0,0,1,0,0,0,1,0,0,0
76,1,46,11795.57,11,0,1.092361222,200.165175,768.0874545,1,0,0,1,0,0,0,0,0,0,1
77,0,50,74794.84,10,2,20.13981517,149.937833,2426.030626,0,1,0,0,0,1,0,0,1,0,0
78,1,24,19038.78,18,1,24.64873861,240.114868,2660.503932,1,0,0,1,0,0,0,0,1,0,0
79,0,20,79167.77,17,0,9.677739656,127.495766,1129.549713,0,1,0,1,0,0,1,0,0,0,0
80,1,29,37428.26,13,2,9.82814183,187.609354,1771.286466,1,0,0,0,0,1,0,1,0,0,0
81,0,31,45148.38,6,1,7.832238337,169.992756,943.3391244,0,1,0,1,0,0,1,0,0,0,0
82,0,72,74855.47,13,3,19.45250317,192.456745,1907.226083,1,0,0,0,0,1,0,0,0,1,0
83,0,71,45323.86,10,1,14.34766616,120.004928,1885.939118,0,1,0,0,0,1,1,0,0,0,0
84,0,32,71596.14,11,0,2.257358355,195.006206,631.7435653,1,0,0,0,1,0,1,0,0,0,0
85,0,33,10389.95,15,1,2.358129018,139.95684,562.6095219,0,1,0,1,0,0,0,0,1,0,0
86,0,67,19657.14,12,3,4.650578623,114.983787,593.8572264,0,1,0,0,1,0,0,0,0,0,1
87,1,66,27827.03,13,1,3.721772616,207.638588,777.3060718,1,0,0,0,1,0,1,0,0,0,0
89,0,61,19815.63,13,0,4.151256695,134.950905,393.6524652,1,0,0,0,0,1,0,0,1,0,0
90,1,75,58482.9,13,0,2.188918771,192.470522,409.7486664,1,0,0,1,0,0,0,0,0,1,0
91,1,63,41656.53,9,1,13.85488928,222.628057,2138.107161,1,0,0,0,0,1,0,0,0,0,1
92,0,68,115510.46,3,1,3.273341151,162.468917,443.984031,1,0,0,0,1,0,0,0,0,1,0
93,1,32,15841.19,7,1,19.75096265,159.979358,2481.385603,0,1,0,0,1,0,0,0,1,0,0
94,0,76,81127.41,7,1,18.38404445,184.979684,2233.567181,0,1,0,0,1,0,0,0,1,0,0
95,1,29,24270.88,13,0,4.672610857,245.145743,1158.91369,1,0,0,0,1,0,1,0,0,0,0
96,0,83,54466.33,17,0,6.796299371,124.97808,529.40733,1,0,0,1,0,0,0,1,0,0,0
97,1,23,64816.84,14,1,12.97632235,187.484705,1956.7337,0,1,0,0,1,0,1,0,0,0,0
98,0,80,103311.26,15,1,20.31163945,162.500692,2056.386979,0,1,0,1,0,0,0,0,1,0,0
99,0,20,40211.04,11,1,6.998814446,182.467607,1067.373076,0,1,0,0,1,0,0,0,1,0,0
100,1,69,58077.38,12,1,14.46288204,222.660939,1806.135733,0,1,0,0,0,1,0,0,0,1,0
101,0,32,43466.35,10,1,11.13472066,182.467607,1397.701335,0,1,0,0,0,1,0,0,1,0,0
102,1,53,23289.77,19,1,2.542296644,220.161527,808.4305471,1,0,0,0,0,1,1,0,0,0,0
103,0,25,49158.49,9,1,17.22596021,169.937833,1886.531937,0,1,0,1,0,0,0,0,0,1,0
104,1,69,3805.84,16,0,22.79214163,204.963371,2294.781131,0,1,0,0,1,0,1,0,0,0,0
105,1,71,52616.27,10,2,3.823689744,204.963371,826.3438621,0,1,0,0,0,1,0,0,0,0,1
106,1,53,30550.42,18,1,10.77094687,245.128318,2072.564168,1,0,0,0,0,1,0,0,0,0,1
107,1,56,12154.01,11,0,13.08671185,172.473314,1436.793746,0,0,1,0,0,1,1,0,0,0,0
108,1,42,30649.31,9,2,14.76468813,172.456745,1963.332683,0,1,0,0,1,0,0,1,0,0,0
109,1,33,31417.33,14,0,9.473091121,194.976769,1324.164906,0,1,0,0,1,0,0,1,0,0,0
110,0,47,55861.19,16,1,5.197446331,137.439154,704.9375603,0,1,0,0,0,1,1,0,0,0,0
111,1,48,9044.26,18,3,6.577552683,192.470522,888.6517305,1,0,0,0,0,1,0,0,0,0,1
112,1,63,25381.66,10,1,3.174571918,159.951231,377.0810282,1,0,0,1,0,0,0,0,1,0,0
113,0,40,65064.31,9,0,17.88002366,112.455141,1606.489936,0,1,0,0,0,1,0,0,0,0,1
114,1,67,12527.51,14,2,13.12190056,174.961766,1431.409396,0,1,0,0,0,1,1,0,0,0,0
115,0,56,35499.06,13,3,23.34617699,162.452604,2253.85247,1,0,0,0,0,1,1,0,0,0,0
116,0,24,26282.4,10,1,6.311709178,137.483594,1353.29384,1,0,0,0,0,1,0,1,0,0,0
117,0,79,51237.28,12,3,12.58298231,275.133571,1701.457566,1,0,0,0,0,1,1,0,0,0,0
118,1,61,64222.21,16,1,7.120096363,127.442069,1290.737183,0,1,0,1,0,0,0,1,0,0,0
119,1,38,11014.98,11,2,9.344886869,210.138,1403.270091,0,1,0,0,0,1,1,0,0,0,0
120,0,28,21172.49,13,1,22.37815032,147.456419,2603.903672,1,0,0,1,0,0,1,0,0,0,0
121,1,44,26130.78,8,2,4.799514433,242.657291,1256.287854,0,1,0,0,0,1,1,0,0,0,0
122,0,65,36478.21,14,2,10.04672315,114.983787,980.9935923,0,1,0,0,1,0,0,0,0,0,1
123,0,35,54533.63,15,2,8.156552837,187.656013,1347.869205,1,0,0,0,0,1,1,0,0,0,0
124,0,31,37103.18,9,3,7.992791229,149.991327,1127.267848,1,0,0,0,1,0,0,0,0,1,0
125,0,34,74679.84,11,0,7.231032028,124.960655,1269.836202,0,1,0,0,1,0,0,0,0,0,1
126,1,68,95028.57,13,0,4.627672042,220.161527,1038.745378,0,1,0,0,0,1,0,0,0,1,0
127,0,62,34281.1,9,0,10.05306287,172.48852,1531.155367,0,1,0,0,0,1,0,0,1,0,0
128,0,52,36240.81,14,0,4.171044392,120.004928,991.2441024,0,1,0,0,0,1,0,0,0,1,0
131,0,66,12995.68,12,1,2.730250735,159.951231,577.1157824,1,0,0,1,0,0,1,0,0,0,0
132,1,70,77531.43,14,1,8.574901206,184.949594,1442.974877,1,0,0,1,0,0,1,0,0,0,0
133,1,41,87354.99,10,0,9.743201772,252.637807,1577.208717,0,1,0,0,1,0,1,0,0,0,0
134,0,59,76567.85,8,1,9.482919033,112.455141,886.9398744,0,1,0,0,1,0,0,0,0,1,0
135,0,46,30663.52,12,0,8.447988841,179.979358,1065.06443,0,1,0,1,0,0,0,1,0,0,0
136,0,70,122957.19,17,0,6.365998533,202.443347,951.886985,0,1,0,0,1,0,0,1,0,0,0
137,0,89,31600.92,12,2,7.251397592,197.472533,1404.435534,0,1,0,0,0,1,0,0,0,0,1
138,1,75,74638.78,10,3,14.64011644,255.155493,1925.911722,1,0,0,0,1,0,0,0,1,0,0
139,1,26,32652.3,9,0,11.71637124,174.976769,1805.011298,1,0,0,0,0,1,0,1,0,0,0
140,0,25,63650.54,8,1,4.13273503,169.992756,700.7343179,1,0,0,0,0,1,1,0,0,0,0
141,1,84,28622.6,14,1,2.887429547,192.440432,513.237305,1,0,0,1,0,0,0,0,0,0,1
142,0,69,50252.79,15,0,3.303030246,182.460772,717.3876564,0,1,0,0,1,0,0,0,1,0,0
143,0,31,19800.81,11,2,5.15825129,139.965008,1313.492851,0,1,0,0,0,1,1,0,0,0,0
144,1,76,35954.77,14,1,3.237560234,137.461553,819.4195269,0,1,0,0,1,0,0,1,0,0,0
145,1,75,36342.31,15,2,2.733109234,217.472533,882.1160656,0,1,0,1,0,0,1,0,0,0,0
146,1,74,48715.53,17,1,3.180102025,210.138,724.7803356,0,0,1,1,0,0,1,0,0,0,0
147,0,49,23204.98,10,2,15.85983755,104.964303,1829.270014,0,1,0,0,1,0,1,0,0,0,0
148,1,47,35302.52,16,1,11.73724209,262.610632,1668.199119,0,1,0,1,0,0,0,0,0,1,0
149,1,20,54895.16,17,2,7.006240694,152.488401,1124.353152,1,0,0,0,0,1,0,1,0,0,0
150,1,26,60398.06,10,2,5.562130367,174.974431,1316.239744,1,0,0,0,1,0,0,0,1,0,0
151,0,72,8115.88,8,0,14.53027663,220.118516,1637.201426,1,0,0,0,0,1,0,0,1,0,0
152,0,41,33858.66,13,0,5.905906389,162.452604,951.8524406,0,1,0,0,0,1,1,0,0,0,0
153,1,26,29950.47,12,2,3.260462654,184.961033,1248.097652,1,0,0,0,1,0,0,1,0,0,0
154,0,55,49421.69,12,3,18.91276578,217.483972,2220.255405,0,1,0,0,0,1,0,0,0,1,0
155,0,46,11061.05,11,2,14.25617986,220.118516,1669.202417,1,0,0,0,0,1,0,1,0,0,0
156,1,87,15388.32,13,1,7.983887266,187.642236,990.0555076,1,0,0,0,1,0,0,0,0,1,0
157,0,39,20624.31,9,2,5.969967132,174.961766,967.9819136,0,1,0,1,0,0,1,0,0,0,0
158,1,81,47877.81,12,0,19.95277818,252.637807,2190.259876,0,1,0,1,0,0,0,1,0,0,0
159,0,83,46154.17,13,1,14.85781115,130.024412,1445.752781,0,1,0,0,1,0,0,0,1,0,0
160,1,50,107111.8,12,2,2.600063739,162.482694,528.6553088,1,0,0,0,0,1,0,0,0,0,1
161,1,87,10403.59,13,2,11.92299244,182.467607,1296.481055,1,0,0,0,0,1,0,1,0,0,0
162,0,76,22412.6,13,0,5.972864167,139.934918,1195.393037,1,0,0,1,0,0,0,1,0,0,0
163,1,25,19476.27,13,1,10.87555535,200.165175,1700.121992,1,0,0,0,1,0,0,0,0,0,1
164,1,34,96382.76,14,0,16.00330155,202.682861,2120.673828,0,1,0,1,0,0,0,1,0,0,0
165,0,46,28022.56,11,0,12.63074989,159.951231,1238.421347,1,0,0,0,1,0,1,0,0,0,0
166,0,73,35478.4,7,2,8.4944392,149.948316,847.110799,1,0,0,0,1,0,0,1,0,0,0
167,1,57,10155.51,12,1,8.044444101,149.959755,1112.937102,1,0,0,0,1,0,1,0,0,0,0
168,0,58,87537.25,14,0,12.07358377,137.469817,1623.045026,0,1,0,1,0,0,1,0,0,0,0
169,1,70,34112.1,12,0,10.21634248,187.656013,1479.730181,0,1,0,0,0,1,0,0,1,0,0
170,1,53,32653.51,7,1,15.50354683,164.985293,2144.735024,0,1,0,0,1,0,0,1,0,0,0
171,1,31,35321.46,11,0,13.88004531,159.965008,1522.289512,0,1,0,0,1,0,0,1,0,0,0
172,0,38,49277.48,10,1,19.48900163,172.462354,1974.780054,1,0,0,0,1,0,0,0,0,0,1
173,1,26,37297.82,11,0,10.01771765,204.949594,1261.177198,1,0,0,1,0,0,0,0,0,0,1
174,0,44,14928.96,14,2,7.34059599,147.473844,939.7181324,0,1,0,1,0,0,0,0,0,0,1
175,1,66,24702.68,11,3,12.64742067,162.471255,1357.062854,1,0,0,0,1,0,1,0,0,0,0
176,0,58,87535.71,15,0,8.850426839,119.95684,1456.887443,0,1,0,0,1,0,1,0,0,0,0
177,1,51,63166.87,11,2,3.701557118,207.609354,937.5863866,1,0,0,1,0,0,1,0,0,0,0
178,0,34,11856.81,14,1,2.976033785,194.999168,830.1193011,1,0,0,0,0,1,0,0,0,1,0
179,0,87,27326.79,14,1,5.522376826,174.975543,737.8564608,0,0,1,1,0,0,0,0,0,0,1
180,1,67,12779.23,9,2,15.64596698,240.114868,1781.854862,1,0,0,1,0,0,1,0,0,0,0
181,1,59,25519.91,12,1,23.00764441,240.114868,2464.577489,0,0,1,0,0,1,0,0,1,0,0
182,0,23,46871.21,10,0,17.24924155,139.983006,2392.203409,0,1,0,0,0,1,1,0,0,0,0
183,1,42,77383.72,12,0,13.01107597,240.114868,1664.19271,0,1,0,0,1,0,0,0,0,0,1
184,1,24,47395.3,11,3,5.104082209,209.993134,1433.616898,1,0,0,0,1,0,1,0,0,0,0
185,0,81,90977.74,10,3,3.521499924,147.456419,823.4933243,1,0,0,0,0,1,0,0,0,0,1
188,0,70,51721.64,12,2,5.587484456,79.978861,418.6206885,1,0,0,0,1,0,0,0,1,0,0
189,0,87,41531.03,13,2,7.007695148,142.482694,1181.991846,1,0,0,0,0,1,0,1,0,0,0
190,0,46,33504.8,14,1,1.408375942,117.439154,733.4036934,1,0,0,0,0,1,1,0,0,0,0
191,1,56,34197.3,14,2,11.64983735,220.132293,1719.173387,1,0,0,0,0,1,0,0,0,0,1
192,1,44,11518.58,11,3,2.964559883,152.455519,1205.956363,0,1,0,0,1,0,0,1,0,0,0
193,0,33,31065.17,9,2,10.25635754,174.961766,1261.032763,1,0,0,0,0,1,0,0,1,0,0
194,1,19,32097.17,14,1,3.892407013,202.443347,741.7766988,1,0,0,0,1,0,0,0,0,0,1
195,1,31,23424.88,12,2,3.226996711,210.12704,932.6084359,0,1,0,0,1,0,0,0,1,0,0
196,0,34,35988.24,9,0,15.87685513,139.979239,1708.614019,1,0,0,0,0,1,0,0,0,1,0
197,0,43,35539.7,11,0,5.874064017,139.965008,1363.58603,0,1,0,0,0,1,0,0,1,0,0
198,0,82,27959.34,5,1,3.756359276,137.439154,472.1057019,0,1,0,0,1,0,0,0,0,1,0
199,0,36,52232.97,13,1,2.905283283,102.474625,558.2340556,1,0,0,1,0,0,0,0,0,0,1
200,1,48,18198.59,17,3,1.474810061,252.637807,815.194738,0,1,0,0,1,0,0,0,1,0,0
201,1,52,16851.94,11,0,18.56165869,194.999168,2007.303617,0,1,0,1,0,0,0,0,0,0,1
202,1,35,16440.05,16,1,12.39088509,242.610632,2088.48083,0,0,1,0,1,0,0,0,1,0,0
203,0,83,44223.58,15,2,14.17192333,127.458638,1430.761492,1,0,0,0,1,0,0,0,0,0,1
204,0,20,33343.73,14,1,3.86023041,129.976324,822.3008694,0,1,0,0,1,0,0,0,0,0,1
206,0,88,31934.04,18,1,3.043063167,174.975543,617.542543,0,1,0,0,1,0,1,0,0,0,0
207,0,54,26676.4,8,0,5.827112819,169.944668,758.4775985,1,0,0,0,1,0,0,0,0,0,1
208,1,46,67211.95,12,0,4.648958177,162.511928,894.6733856,0,1,0,0,1,0,0,0,1,0,0
209,0,75,31136.77,14,1,11.96274778,119.95684,1639.898269,1,0,0,0,1,0,0,0,0,0,1
210,0,66,40660.84,11,0,4.525864256,137.439154,710.7541633,0,1,0,0,0,1,0,0,0,0,1
211,0,51,10606.59,12,1,8.038308899,207.46728,1092.226042,1,0,0,0,1,0,1,0,0,0,0
212,0,81,92447.71,12,0,1.416592892,149.974105,757.0097075,1,0,0,1,0,0,1,0,0,0,0
213,0,75,13612.16,18,0,19.83504645,225.178625,2301.850721,0,1,0,0,1,0,0,0,1,0,0
214,1,54,13765.39,8,2,15.85002222,232.637807,2401.406545,1,0,0,0,0,1,0,0,0,0,1
215,0,73,53019.98,10,2,15.94935291,117.472036,1535.788894,0,1,0,1,0,0,0,0,1,0,0
216,0,53,42523.02,12,1,11.94550648,137.469817,1536.589816,0,1,0,0,0,1,0,0,0,1,0
217,0,33,52143.7,14,1,16.03360405,220.132293,2153.778421,1,0,0,0,1,0,0,0,1,0,0
218,0,41,19097.94,13,0,21.29342532,124.960655,2409.195918,1,0,0,0,0,1,0,0,0,0,1
219,0,59,11301.4,11,0,4.95598008,199.990219,1342.862457,1,0,0,0,0,1,1,0,0,0,0
220,1,23,17814.0,14,0,2.73951266,159.947583,1046.054674,1,0,0,0,1,0,0,0,0,1,0
221,1,32,22533.05,13,1,4.973046104,245.145743,1204.479468,1,0,0,1,0,0,0,0,0,0,1
222,1,51,19974.4,10,2,10.28430068,255.155493,1616.908193,1,0,0,1,0,0,0,0,1,0,0
223,0,46,45146.99,11,1,2.581692044,134.950905,345.0099528,1,0,0,1,0,0,0,0,1,0,0
224,1,37,10330.1,9,1,6.945736396,159.947583,1427.088655,0,1,0,1,0,0,0,1,0,0,0
225,0,53,15281.28,8,3,9.999416271,139.987503,1452.334634,0,1,0,0,1,0,0,0,1,0,0
226,1,62,11217.96,15,2,6.035737465,179.947583,795.4957358,0,1,0,0,0,1,1,0,0,0,0
227,0,57,17516.0,13,0,9.004964377,127.473844,1333.894229,1,0,0,0,1,0,0,0,0,1,0
228,1,80,20566.64,10,1,5.071456681,232.637807,1402.20491,1,0,0,0,1,0,0,1,0,0,0
229,1,43,36128.68,12,1,12.02106494,195.006206,1447.196935,0,1,0,0,0,1,0,1,0,0,0
230,1,35,52129.84,10,1,5.049303717,267.642733,1662.510936,0,1,0,0,1,0,1,0,0,0,0
231,0,63,25985.06,11,1,18.17247008,149.959755,1707.641161,1,0,0,0,1,0,0,0,1,0,0
232,1,63,10909.79,15,2,15.31997698,220.114868,2181.752793,1,0,0,0,0,1,0,0,0,0,1
233,0,27,41151.14,11,3,16.0708543,157.483594,1575.683555,1,0,0,1,0,0,1,0,0,0,0
234,0,19,64063.23,14,3,7.873371451,127.474951,1029.489242,1,0,0,1,0,0,0,1,0,0,0
235,0,40,20414.07,12,1,23.62866494,139.981577,2370.184448,1,0,0,0,0,1,0,0,1,0,0
236,1,42,41412.1,8,1,25.8634566,255.133571,3309.919373,0,1,0,0,1,0,0,0,0,0,1
237,1,40,99195.08,16,1,9.405224809,194.966286,1623.273925,1,0,0,1,0,0,0,1,0,0,0
238,0,72,18408.94,12,2,12.84490034,179.965581,1146.199921,1,0,0,0,1,0,0,1,0,0,0
239,1,61,15930.45,10,0,16.59325254,174.976769,2229.268031,0,1,0,0,0,1,0,0,0,1,0
240,0,71,25611.29,11,0,20.35456039,187.609354,2512.36494,0,1,0,1,0,0,1,0,0,0,0
241,0,68,9428.86,7,0,12.00925702,169.937833,1297.388488,1,0,0,0,1,0,1,0,0,0,0
242,0,88,3810.16,17,2,2.861423443,115.002061,283.39178,1,0,0,1,0,0,0,0,1,0,0
243,1,64,118022.06,11,2,14.20349453,152.462354,1947.7853,0,1,0,1,0,0,0,0,0,0,1
244,1,63,51992.79,10,1,4.98152586,207.609354,849.1972541,1,0,0,0,0,1,0,1,0,0,0
245,0,53,79993.43,12,0,23.12150846,147.503078,2131.359827,1,0,0,1,0,0,1,0,0,0,0
246,0,41,37706.85,14,0,6.307178205,200.118516,1464.035068,0,1,0,1,0,0,0,0,0,0,1
247,0,63,22466.53,13,1,12.73622643,137.497825,1381.538548,0,1,0,0,1,0,0,1,0,0,0
248,0,56,16608.27,14,0,12.00466914,134.980139,1248.626874,1,0,0,0,1,0,0,1,0,0,0
249,0,27,25146.14,6,0,2.243757398,147.442069,558.3751762,0,1,0,1,0,0,1,0,0,0,0
250,0,47,58882.35,18,0,1.583394702,197.494455,676.2178659,0,1,0,0,1,0,1,0,0,0,0
251,0,42,31809.46,14,2,14.23487852,162.529926,1641.938696,1,0,0,0,1,0,0,0,1,0,0
252,1,72,27235.54,14,0,15.28108311,210.151777,1811.964373,1,0,0,1,0,0,0,0,0,0,1
253,1,58,70476.82,9,2,4.135827839,159.965581,1066.632555,0,1,0,0,0,1,0,1,0,0,0
254,1,33,49396.09,12,3,9.740709475,190.173699,1514.131966,0,1,0,0,0,1,0,0,0,0,1
255,1,87,35060.94,8,0,1.213704886,202.649979,1189.549671,1,0,0,0,1,0,0,0,1,0,0
256,0,34,66055.53,11,2,11.86252419,134.950905,1114.020282,1,0,0,1,0,0,1,0,0,0,0
257,0,76,91335.76,11,1,2.416685985,142.500692,1078.291303,0,1,0,0,0,1,0,0,0,0,1
258,0,38,54349.75,21,0,6.73327535,114.997564,854.2977548,0,0,1,1,0,0,0,0,0,0,1
259,1,47,75042.1,12,1,6.549035393,232.62403,1489.077486,1,0,0,1,0,0,0,0,0,1,0
260,1,84,91001.1,8,1,10.57197066,242.628057,1649.312808,0,1,0,1,0,0,0,0,0,0,1
